,title,location,price(L),rate_persqft,area_insqft,building_status,agent_rating
15582,Residential Plot,Ibrahimpatnam,24.0,1333,1800,New,0.0
15583,3 BHK Apartment,Narsingi,100.0,8438,1185,Ready to move,0.0
15584,3 BHK Apartment,Manikonda,84.24,4800,1755,Under Construction,0.0
15585,3 BHK Independent House,chandrayangutta,38.0,4130,920,Ready to move,4.9
15586,2 BHK Apartment,Sainikpuri,22.0,3793,580,Ready to move,4.9
15587,2 BHK Apartment,Kokapet,70.82,5599,1265,Ready to move,4.5
15588,Residential Plot,Bibinagar,17.0,944,1800,Resale,4.6
15589,Residential Plot,Bhuvanagiri,17.0,944,1800,Resale,4.9
15590,Residential Plot,Shadnagar,7.0,583,1200,Resale,4.9
15591,3 BHK Apartment,Nizampet,67.0,4422,1515,Ready to move,0.0
15592,Residential Plot,Rampally,37.0,3503,1056,Resale,4.8
15593,4 BHK Independent House,Jahanuma,55.0,3548,1550,Ready to move,4.6
15594,2 BHK Apartment,Pragathi Nagar,44.0,4000,1100,Ready to move,4.6
15595,3 BHK Apartment,Kukatpally,109.0,6264,1740,Under Construction,4.1
15596,2 BHK Apartment,Kukatpally,90.0,6245,1441,Under Construction,3.7
15597,2 BHK Apartment,Kukatpally,85.0,6250,1360,Under Construction,3.7
15598,Residential Plot,Kothur,42.98,1555,2763,New,3.7
15599,Residential Plot,Kothur,41.3,1555,2655,New,4.5
15600,Residential Plot,Kothur,21.0,1555,1350,New,5.0
15601,Residential Plot,Nedunur,9.04,444,2034,New,5.0
15602,Residential Plot,Kothur,18.0,333,5400,New,5.0
15603,Residential Plot,Kandukur,18.75,333,5625,New,4.8
15604,Residential Plot,Ibrahimpatnam,22.0,1222,1800,New,4.9
15605,Residential Plot,financial District,100.0,5555,1800,New,3.4
15606,Residential Plot,financial District,500.0,5555,9000,New,5.0
15607,Residential Plot,financial District,500.0,5555,9000,New,4.7
15608,Residential Plot,Yadagirigutta,10.45,611,1710,New,4.5
15609,Residential Plot,Yadagirigutta,10.06,611,1647,New,4.5
15610,Residential Plot,Yadagirigutta,9.07,611,1485,New,4.5
15611,Residential Plot,Yadagirigutta,13.2,611,2160,New,5.0
15612,Residential Plot,Yadagirigutta,12.1,611,1980,New,5.0
15613,Residential Plot,Yadagirigutta,11.55,611,1890,New,5.0
15614,2 BHK Apartment,Pragathi Nagar Kukatpally,48.1,3848,1250,Under Construction,4.8
15615,3 BHK Apartment,Kukatpally,108.0,6224,1735,Under Construction,4.8
15616,3 BHK Apartment,Kukatpally,105.0,6595,1592,Under Construction,4.0
15617,Residential Plot,Rudraram,20.0,1111,1800,New,0.0
15618,2 BHK Apartment,Moti Nagar,70.0,5000,1400,Ready to move,0.0
15619,3 BHK Apartment,Kukatpally,105.0,6595,1592,Under Construction,0.0
15620,Residential Plot,Gandi Maisamma,36.0,2000,1800,Resale,0.0
